tier,id,content,tier_name,tier_type,time_start,time_end,source,linguist,language
1,1,ca phwî gase mu cami aman can ca phwî,JeanPhilippe_Transcription-txt-mkt,Phrases,2.66,6.95,vamale-180720-JP_LR.eaf,FALSE,va
1,1,ca phwî gase mu cami aman can ca phwî,JeanPhilippe_Transcription-txt-mkt,Phrases,2.66,6.95,vamale-180720-JP-ca_phwi_LR.eaf,FALSE,va
6,1,oui,Jean_Transcription-txt-mkt,Phrases,8.58,9.25,vamale-180720-JP-ja_LR.eaf,TRUE,va
6,2,d-accord,Jean_Transcription-txt-mkt,Phrases,41.305,41.739,vamale-180720-JP-ja_LR.eaf,TRUE,va
6,3,ja hmasa,Jean_Transcription-txt-mkt,Phrases,43.225,44.207,vamale-180720-JP-ja_LR.eaf,TRUE,va
6,1,nous sommes le 19 juillet 2017 2018 pardon chez Jean-Philippe,Jean_Transcription-txt-mkt,Phrases,1.35,5.77,vamale-180720-JP-ka_LR.eaf,TRUE,fr
6,2,et on parle de ka,Jean_Transcription-txt-mkt,Phrases,6.1,6.91,vamale-180720-JP-ka_LR.eaf,TRUE,en
6,3,i sovan ka i xhaohmu i sovan xhaohmu,Jean_Transcription-txt-mkt,Phrases,7.16,9.45,vamale-180720-JP-ka_LR.eaf,TRUE,va
6,4,donc i sovan xhaohmu tu dis c'est une truc qu'on,Jean_Transcription-txt-mkt,Phrases,9.798,11.775,vamale-180720-JP-ka_LR.eaf,TRUE,fr
6,5,qui est visible que tu vois c'est ou tu parles d'un cheval qui existe encore avec le vieux qui existe encore,Jean_Transcription-txt-mkt,Phrases,12.21,17.239,vamale-180720-JP-ka_LR.eaf,TRUE,fr
6,6,voilà c'est le cheval du vieux,Jean_Transcription-txt-mkt,Phrases,17.239,18.996,vamale-180720-JP-ka_LR.eaf,TRUE,fr
6,7,mais on peut parler aussi dûn cheval qui n'est pas là là mais c'est toujours le cheval du vieux,Jean_Transcription-txt-mkt,Phrases,20.587,23.775,vamale-180720-JP-ka_LR.eaf,TRUE,fr
6,8,ça c'est i sovan xhaohmu,Jean_Transcription-txt-mkt,Phrases,24.044,24.937,vamale-180720-JP-ka_LR.eaf,TRUE,fr
6,9,i sovan ka i xhaohmu c'est un cheval qui est peut-être ,Jean_Transcription-txt-mkt,Phrases,25.695,27.844,vamale-180720-JP-ka_LR.eaf,TRUE,fr
